User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Louisiancajun,@AmberW56374481,2022-11-20T23:39:29.000Z,"Louisiancajun
@AmberW56374481
·
1mReplying to 
@elonmusk
I did not get to vote in your poll, I vote YES! We love President Trump here in Louisiana!  ",,,
travelocity gnome,@vegtable_fable,2022-11-20T23:39:29.000Z,"travelocity gnome
@vegtable_fable
·
1mReplying to 
@Explodingfists
 @ManMadeMoon
 and 3 others
Tell me you’re a virgin without telling me you’re a virgin",,,
Larry Allen,@greybeardfit,2022-11-20T23:39:29.000Z,"Larry Allen
@greybeardfit
·
1mReplying to 
@elonmusk
Lol, biding his tima, maybe?",,,
KnowYourObama,@KnowYourObama,2022-11-20T23:39:29.000Z,"KnowYourObama
@KnowYourObama
·
1mReplying to 
@victoryengin65
 and 
@elonmusk
Also, to be a Karen is to be a racist. You trumpers. You sure are lost in your own little worlds",,,
Dominic Scoppetto,@domct203,2022-11-20T23:39:29.000Z,"Dominic Scoppetto
@domct203
·
1mReplying to 
@elonmusk
 and 
@CBSNewsPress
Hey CBS- how about monitoring the security threat at our Southern Border for starters? You might get some credibility back after this embarrassing Twitter pause.",,,
"Canhoto sim, esquerdista... NÃO!",@Tucareia,2022-11-20T23:39:29.000Z,"Canhoto sim, esquerdista... NÃO!
@Tucareia
·
1mReplying to 
@paulinhotr29
 @Taniamiltinho
 and 3 others
Cooperativismo de classe!",,,
Kevin,@VeryChillax,2022-11-20T23:39:29.000Z,"Kevin
@VeryChillax
·
1m@elonmusk",,,
Shiba Inu's boss,@shibainuboss,2022-11-20T23:39:29.000Z,"Shiba Inu's boss
@shibainuboss
·
1mReplying to 
@catherinerusse2
 and 
@elonmusk
Trump still uses the internet. You cant avoid anyone no matter where you go. There are more important things to worry about.",,,
Dr. Pocrastinate TODAY!,@big_prostate,2022-11-20T23:39:29.000Z,"Dr. Pocrastinate TODAY!
@big_prostate
·
1mReplying to 
@Joelmpetlin
 @elonmusk
 and 
@realDonaldTrump
Dude, your side boycotts shit constantly.  At least be a TEENY but self-aware. Clown.",,,
Lorraine Kuno,@KunoLorraine,2022-11-20T23:39:29.000Z,"Lorraine Kuno
@KunoLorraine
·
1mReplying to 
@elderechistaok
 and 
@elonmusk",,,
The Real Nanna & Norman,@LupCheongGirl,2022-11-20T23:39:29.000Z,"The Real Nanna & Norman
@LupCheongGirl
·
1mReplying to 
@SophieLynn0891
 @IgorForHire
 and 2 others
I agree!",,,
Adébáyọ̀. SoDiki Al’agbado,@MisterBayo_,2022-11-20T23:39:29.000Z,"Adébáyọ̀. SoDiki Al’agbado
@MisterBayo_
·
1mReplying to 
@elonmusk
This guy you be weyreh ",,,
SpeakTruthToPower,@SpeakTruthToPo7,2022-11-20T23:39:28.000Z,"SpeakTruthToPower
@SpeakTruthToPo7
·
1m@elonmusk
 
Any chance bringing back #Vine or #Periscope ? Maybe merge the two somehow. Twitch and YouTube could use a rival.",,,
Bryan Ferry,@Brian_Ferrey,2022-11-20T23:39:28.000Z,"Bryan Ferry
@Brian_Ferrey
·
1mReplying to 
@elonmusk",,,
Maferegas,@maferegas,2022-11-20T23:39:28.000Z,"Maferegas
@maferegas
·
1mReplying to 
@elonmusk
I know how it feels. It happened to me.",,,
mucao poeta esquerdista,@naturejnd,2022-11-20T23:39:28.000Z,"mucao poeta esquerdista
@naturejnd
·
1mReplying to 
@karolwea
 and 
@elonmusk
só reclama de tudo e todos meu Deus sossega garota",,,
Laziofly,@Laziofly2000,2022-11-20T23:39:28.000Z,"Laziofly
@Laziofly2000
·
1mReplying to 
@elonmusk
He's forgotten the password.",,,
"Rich Vermillion, MBA",@VermillionRich,2022-11-20T23:39:28.000Z,"Rich Vermillion, MBA
@VermillionRich
·
1mPlease help my wife out here, 
@elonmusk
. To this day she has never been told why she was banned. 
Quote Tweet
Donna Vermillion
@DFWMama4
·
3h
Please reinstate my account!",,,
grant,@grantbelden,2022-11-20T23:39:28.000Z,"grant
@grantbelden
·
1mReplying to 
@grantbelden
 @jchybow
 and 4 others
Bump",,,
SatOshoNakabot,@SatOshoNakabot,2022-11-20T23:39:28.000Z,"SatOshoNakabot
@SatOshoNakabot
·
1mReplying to 
@elonmusk
8 dollars please... :)",,,
𝗥𝗮𝘁𝗶𝗼 𝗞𝗶𝗻𝗸| ᴘʀᴏꜰᴇꜱꜱɪᴏɴᴀʟ ɴᴏʙᴏᴅʏ,@ratiokink,2022-11-20T23:39:28.000Z,"𝗥𝗮𝘁𝗶𝗼 𝗞𝗶𝗻𝗸| ᴘʀᴏꜰᴇꜱꜱɪᴏɴᴀʟ ɴᴏʙᴏᴅʏ
@ratiokink
·
1mReplying to 
@MarionGalMonse2
 @NewYearsDani
 and 3 others
Like saying the Jews run the banks and the media, and having his bank accounts shut down.",,,
Joseph,@rrrrjewook,2022-11-20T23:39:28.000Z,"Joseph
@rrrrjewook
·
1mReplying to 
@RachJnr1
 and 
@elonmusk
More like this
The following media includes potentially sensitive content. Change settings
View",,,
Debbie,@debbie_dlagator,2022-11-20T23:39:28.000Z,"Debbie
@debbie_dlagator
·
1mReplying to 
@elonmusk
 @DawnDavies11
 and 
@TimRunsHisMouth
Love  it",,,
Angelus Irae,@angelus_irae,2022-11-20T23:39:28.000Z,"Angelus Irae
@angelus_irae
·
1mReplying to 
@TimRunsHisMouth
 @elonmusk
 and 2 others
Would make it that much more impressive.",,,
Hey Boo Boo,@HeyBooBoo16,2022-11-20T23:39:28.000Z,"Hey Boo Boo
@HeyBooBoo16
·
1mReplying to 
@elonmusk
 and 
@TimRunsHisMouth
Ahahaha",,,
Nancy schulz,@Nancysc87411898,2022-11-20T23:39:28.000Z,"Nancy schulz
@Nancysc87411898
·
1mReplying to 
@lilaltoshi
 and 
@elonmusk
Stay in school!!!!",,,
Michel sul,@mppsul,2022-11-20T23:39:28.000Z,"Michel sul
@mppsul
·
1mReplying to 
@elonmusk",,,
August,@avrgpenis,2022-11-20T23:39:27.000Z,"August
@avrgpenis
·
1mReplying to 
@notpranto
 and 
@elonmusk
We won’t miss you",,,
AlisonRisesAgain~Crime Fraud Exemption!!,@AlisonRises,2022-11-20T23:39:27.000Z,"AlisonRisesAgain~Crime Fraud Exemption!!
@AlisonRises
·
1mReplying to 
@Paultx890
Actually, 
@elonmusk
 and 
@catturd2
, We aren’t the least bit entertained. Your idea of what’s entertaining is pretty sick.
Boring, too.",,,
MAPP,@SteveMapp,2022-11-20T23:39:27.000Z,"MAPP
@SteveMapp
·
1mReplying to 
@GermanRoots5
 @irishrygirl
 and 2 others
With Trump’s trademark long tie, they average together as a normal length.",,,
